index,url,title,,
0,https://www.edx.org/course/chronic-disease-treatment-lifestyle-doanex-hph-102x,Chronic Disease Treatment with Lifestyle Medicine,,
1,https://www.edx.org/course/sustainable-energy-capstone-uqx-engycapx,Sustainable Energy Capstone,,
2,https://www.edx.org/course/cybersecurity-capstone-ritx-cyber525x-0,Cybersecurity Capstone,,
3,https://www.edx.org/course/ux-user-experience-capstone-michiganx-ux509x,UX (User Experience) Capstone,,
4,https://www.edx.org/course/project-management-micromasters-capstone-ritx-pm9004x-0,Project Management MicroMasters Capstone Exam,,
5,https://www.edx.org/course/health-coaching-patient-care-doanex-hph-103x,Health Coaching for Patient Care,,
6,https://www.edx.org/course/corporate-innovation-capstone-assessment-uqx-corpinn5x,Corporate Innovation Capstone Assessment,,
7,https://www.edx.org/course/marketing-analytics-columbiax-bamm-104x,Marketing Analytics,,
8,https://www.edx.org/course/analytics-python-columbiax-bamm-101x-0,Analytics in Python,,
9,https://www.edx.org/course/demand-supply-analytics-columbiax-bamm-103x-0,Demand and Supply Analytics,,
10,https://www.edx.org/course/data-models-decisions-business-analytics-columbiax-bamm-102x-0,Data, Models and Decisions in Business Analytics,
11,https://www.edx.org/course/big-data-analytics-using-spark-uc-san-diegox-dse230x,Big Data Analytics Using Spark,,
12,https://www.edx.org/course/machine-learning-fundamentals-uc-san-diegox-dse220x,Machine Learning Fundamentals,,
13,https://www.edx.org/course/robotics-dynamics-control-pennx-robo3x,Robotics: Dynamics and Control,,
14,https://www.edx.org/course/robotics-fundamentals-pennx-robo1x,Robotics: Fundamentals,,
15,https://www.edx.org/course/robotics-locomotion-engineering-pennx-robo4x,Robotics: Locomotion Engineering,,
16,https://www.edx.org/course/robotics-vision-intelligence-machine-pennx-robo2x,Robotics: Vision Intelligence and Machine Learning,,
17,https://www.edx.org/course/leading-high-performing-teams-uqx-buslead3x,Leading High-Performing Teams,,
18,https://www.edx.org/course/leading-complex-environment-uqx-buslead4x,Leading in a Complex Environment,,
19,https://www.edx.org/course/human-rights-development-curtinx-hrig2x-1,Human Rights and Development,,
20,https://www.edx.org/course/introduction-to-psychological-research-methods,Introduction to Psychological Research Methods,,
21,https://www.edx.org/course/human-rights-theory-philosophy-curtinx-hrig1x-1,Human Rights Theory and Philosophy,,
22,https://www.edx.org/course/human-rights-activism-advocacy-change-curtinx-hrig3x-0,Human Rights Activism, Advocacy and Change,
23,https://www.edx.org/course/software-development-capstone-project-ubcx-softengprjx,Software Development Capstone Project,,
24,https://www.edx.org/course/lifestyle-medicine-core-principles-doanex-hph-101x,Lifestyle Medicine Core Principles,,
25,https://www.edx.org/course/proyecto-final-e-learning-galileox-cet004x,Proyecto Final," ""e-Learning""",
26,https://www.edx.org/course/animation-cgi-motion-columbiax-csmm-104x-2,Animation and CGI Motion,,
27,https://www.edx.org/course/android-developer-capstone-project-galileox-caad005x-0,Android Developer Capstone Project: Building a Successful Android App,,
28,https://www.edx.org/course/solar-energy-photovoltaic-pv-delftx-pv2x-0,Solar Energy: Photovoltaic (PV) Technologies,,
29,https://www.edx.org/course/solar-energy-photovoltaic-pv-systems-delftx-pv3x,Solar Energy: Photovoltaic (PV) Systems,,
30,https://www.edx.org/course/solar-energy-integration-photovoltaic-delftx-pv4x,Solar Energy: Integration of Photovoltaic Systems in Microgrids,,
31,https://www.edx.org/course/idea-development-create-implement-uqx-corpinn2x,Idea Development: Create and Implement Innovative Ideas,,
32,https://www.edx.org/course/statistical-analysis-bioinformatics-usmx-umuc-bif003x,Statistical Analysis in Bioinformatics,,
33,https://www.edx.org/course/creating-sustaining-innovation-culture-uqx-corpinn4x,Creating and Sustaining an Innovation Culture,,
34,https://www.edx.org/course/financial-accounting-corporations-usmx-umuc-af6020,Financial Accounting for Corporations,,
35,https://www.edx.org/course/cloud-computing-infrastructure-usmx-umuc-cc615x,Cloud Computing Infrastructure,,
36,https://www.edx.org/course/cloud-computing-management-usmx-umuc-cc607x-0,Cloud Computing Management,,
37,https://www.edx.org/course/innovation-plan-product-uqx-corpinn3x,Innovation: From Plan to Product,,
38,https://www.edx.org/course/financial-management-organizations-usmx-umuc-af6030,Financial Management in Organizations,,
39,https://www.edx.org/course/cloud-computing-security-usmx-university-maryland-university-cc617x,Cloud Computing Security,,
40,https://www.edx.org/course/leading-organization-uqx-buslead2x,Leading the Organization,,
41,https://www.edx.org/course/software-testing-fundamentals-usmx-umuc-stv1-1x-1,Software Testing Fundamentals,,
42,https://www.edx.org/course/dna-sequences-alignments-analysis-usmx-umuc-bif001x-1,DNA Sequences: Alignments and Analysis,,
43,https://www.edx.org/course/cloud-computing-enterprises-usmx-umuc-cc605x-1,Cloud Computing for Enterprises,,
44,https://www.edx.org/course/leading-educational-innovation-michiganx-leaded505x,Leading Educational Innovation and Improvement Capstone,,
45,https://www.edx.org/course/long-term-financial-management-usmx-umuc-af6040,Long-term Financial Management,,
46,https://www.edx.org/course/robotics-columbiax-csmm-103x-2,Robotics,,
47,https://www.edx.org/course/software-testing-management-usmx-umuc-stv1-2x-1,Software Testing Management,,
48,https://www.edx.org/course/road-traffic-safety,Road Traffic Safety in Automotive Engineering,,
49,https://www.edx.org/course/model-based-automotive-systems-engineering,Model-Based Automotive Systems Engineering,,
50,https://www.edx.org/course/decision-making-for-autonomous-systems,Decision-Making for Autonomous Systems,,
51,https://www.edx.org/course/designing-leading-learning-systems-michiganx-leaded502x,Designing and Leading Learning Systems,,
52,https://www.edx.org/course/supply-chain-technology-systems-mitx-ctl-sc4x-1,Supply Chain Technology and Systems,,
53,https://www.edx.org/course/improvement-science-education-michiganx-leaded503x,Improvement Science in Education,,
54,https://www.edx.org/course/instructional-design-technology-learning-usmx-umuc-ldt100x-2,Instructional Design and Technology: Learning Theories,,
55,https://www.edx.org/course/instructional-design-digital-media-new-usmx-umuc-ldt300x,Instructional Design: Digital Media, New Tools and Technology,
56,https://www.edx.org/course/advanced-biorefinery-wageningenx-bb03x-0,Advanced Biorefinery,,
57,https://www.edx.org/course/social-work-practice-individuals-michiganx-sw521x,Social Work Practice with Individuals, Families, and Small Groups
58,https://www.edx.org/course/social-welfare-policy-services-michiganx-sw530x,Social Welfare Policy and Services,,
59,https://www.edx.org/course/instructional-design-models-usmx-umuc-ldt200x-0,Instructional Design Models,,
60,https://www.edx.org/course/social-work-research-michiganx-sw522x,Social Work: Research,,
61,https://www.edx.org/course/supply-chain-analytics-mitx-ctl-sc0x-3,Supply Chain Analytics,,
62,https://www.edx.org/course/supply-chain-dynamics-mitx-ctl-sc3x-2,Supply Chain Dynamics,,
63,https://www.edx.org/course/business-analytics-data-driven-decision-bux-qd602x,Business Analytics for Data-Driven Decision Making,,
64,https://www.edx.org/course/diversity-social-justice-social-work-michiganx-sw504x,Diversity and Social Justice in Social Work,,
65,https://www.edx.org/course/biobased-sciences-sustainability-wageningenx-bb06x,Biobased Sciences for Sustainability Capstone,,
66,https://www.edx.org/course/supply-chain-fundamentals-mitx-ctl-sc1x-3,Supply Chain Fundamentals,,
67,https://www.edx.org/course/instructional-design-data-mining-usmx-university-maryland-university-ldt400x,Instructional Design Course Evaluation & Capstone Project,,
68,https://www.edx.org/course/supply-chain-design-mitx-ctl-sc2x-2,Supply Chain Design,,
69,https://www.edx.org/course/low-emission-technologies-supply-systems-uqx-engy3x,Low Emission Technologies and Supply Systems,,
70,https://www.edx.org/course/social-work-practice-community-michiganx-sw560x,Social Work Practice in Community Organization, Management and Policy/Evaluation,
71,https://www.edx.org/course/case-studies-continuous-educational-michiganx-leaded504x,Case Studies in Continuous Educational Improvement,,
74,https://www.edx.org/course/manufacturing-process-control-i-modeling-and-control-of-variation,Manufacturing Process Control: Variation Modeling and Control,,
75,https://www.edx.org/course/biobased-processes-implementation-wageningenx-bb02x-0,Biobased Processes & Implementation,,
76,https://www.edx.org/course/buyer-behaviour-analysis-curtinx-mkt3x-0,Buyer Behaviour and Analysis,,
77,https://www.edx.org/course/topics-in-engineering-management,Topics in Engineering Management,,
78,https://www.edx.org/course/supply-chains-manufacturing-systems-planning,Supply Chains and Manufacturing Systems: Planning,,
79,https://www.edx.org/course/introduction-to-manufacturing-systems,Introduction to Manufacturing Systems,,
80,https://www.edx.org/course/cybersecurity-fundamentals-ritx-cyber501x-2,Cybersecurity Fundamentals,,
81,https://www.edx.org/course/principles-biochemistry-harvardx-mcb63x-1,Principles of Biochemistry,,
82,https://www.edx.org/course/cybersecurity-risk-management-ritx-cyber503x-2,Cybersecurity Risk Management,,
83,https://www.edx.org/course/climate-science-policy-uqx-engy1x,Climate Science and Policy,,
84,https://www.edx.org/course/online-marketing-strategies-curtinx-mkt5x,Online Marketing Strategies,,
85,https://www.edx.org/course/computer-forensics-ritx-cyber502x-2,Computer Forensics,,
86,https://www.edx.org/course/network-security-ritx-cyber504x-0,Network Security,,
87,https://www.edx.org/course/project-finance-funding-projects-delftx-mep301x-0,Project Finance: Funding Projects Successfully,,
88,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,Contract Law: From Trust to Promise to Contract,,
89,https://www.edx.org/course/biobased-principles-opportunities-wageningenx-bb01x-0,Biobased Principles and Opportunities,,
90,https://www.edx.org/course/ielts-academic-test-preparation,IELTS Academic Test Preparation,,
91,https://www.edx.org/course/psychology-criminal-justice-uqx-crime101x-4,The Psychology of Criminal Justice,,
92,https://www.edx.org/course/introduction-to-developmental-psychology,Introduction to Developmental Psychology,,
93,https://www.edx.org/course/artificial-intelligence-ai-columbiax-csmm-101x-2,Artificial Intelligence (AI),,
94,https://www.edx.org/course/nutrition-and-health-macronutrients-and-overnutrition,Nutrition and Health: Macronutrients and Overnutrition,,
95,https://www.edx.org/course/blockchain-business-introduction-linuxfoundationx-lfs171x,Blockchain for Business - An Introduction to Hyperledger Technologies,,
96,https://www.edx.org/course/project-management-mastering-complexity-delftx-mep201x-0,Project Management: Mastering Complexity,,
97,https://www.edx.org/course/modern-masterpieces-world-literature-harvardx-hum12-2x,Modern Masterpieces of World Literature,,
98,https://www.edx.org/course/improving-global-health-focusing-quality-harvardx-ph555x-1,Improving Global Health: Focusing on Quality and Safety,,
99,https://www.edx.org/course/strategic-brand-management-curtinx-mkt4x,Strategic Brand Management,,
100,https://www.edx.org/course/principles-statistical-computational-harvardx-ph527x,Principles, Statistical and Computational Tools for Reproducible Science,
101,https://www.edx.org/course/english-grammar-style-uqx-write101x-6,English Grammar and Style,,
102,https://www.edx.org/course/machine-learning-columbiax-csmm-102x-2,Machine Learning,,
103,https://www.edx.org/course/circular-economy-wageningenx-bb05x,Circular Economy,,
104,https://www.edx.org/course/energy-development-uqx-engy2x,Energy and Development,,
105,https://www.edx.org/course/introduction-linux-linuxfoundationx-lfs101x-1,Introduction to Linux,,
106,https://www.edx.org/course/china-humanities-individual-chinese-harvardx-chn12x,China Humanities: The Individual in Chinese Culture,,
107,https://www.edx.org/course/ancient-masterpieces-world-literature-harvardx-hum12-1x,Ancient Masterpieces of World Literature,,
108,https://www.edx.org/course/poetry-america-modernism-harvardx-ampox-6-0,Poetry in America: Modernism,,
109,https://www.edx.org/course/six-sigma-analyse-improve-control-tumx-qpls2x-0,Six Sigma: Analyse, Improve, Control
110,https://www.edx.org/course/six-sigma-define-measure-tumx-qpls1x-0,Six Sigma: Define and Measure,,
111,https://www.edx.org/course/space-mission-design-and-operations-0,Space Mission Design and Operations,,
112,https://www.edx.org/course/ancient-greek-hero-harvardx-hum2x-0,The Ancient Greek Hero,,
113,https://www.edx.org/course/luxury-management-hkpolyux-htm-541x-0,Luxury Management,,
114,https://www.edx.org/course/urban-design-public-good-dutch-urbanism-delftx-urbanismx-0,Urban Design for the Public Good: Dutch Urbanism,,
115,https://www.edx.org/course/science-practice-sustainable-development-uqx-lgdm2x-2,The Science and Practice of Sustainable Development,,
117,https://www.edx.org/course/big-data-analytics-adelaidex-analyticsx,Big Data Analytics,,
118,https://www.edx.org/course/solar-energy-delftx-et3034x-0,Solar Energy,,
120,https://www.edx.org/course/international-law-louvainx-louv5x-4,International Law,,
121,https://www.edx.org/course/critical-development-perspectives-uqx-lgdm4x-1,Critical Development Perspectives,,
122,https://www.edx.org/course/business-foundations-ubcx-bus1x,Business Foundations,,
123,https://www.edx.org/course/international-project-management-ritx-pm9003x-0,International Project Management,,
124,https://www.edx.org/course/cellular-mechanisms-brain-function-epflx-brainx-1,Cellular Mechanisms of Brain Function,,
125,https://www.edx.org/course/industry-4-0-how-revolutionize-business-hkpolyux-i4-0x,Industry 4.0: How to Revolutionize your Business,,
128,https://www.edx.org/course/leaders-global-development-uqx-lgdm1x-3,Leaders in Global Development,,
129,https://www.edx.org/course/people-management-iimbx-hr101x-0,People Management,,
130,https://www.edx.org/course/accounting-finance-iimbx-ac104x-0,Accounting and Finance,,
131,https://www.edx.org/course/people-management-for-entrepreneurs,People Management for Entrepreneurs,,
133,https://www.edx.org/course/religion-conflict-peace-harvardx-hds2825x,Religion, Conflict and Peace,
134,https://www.edx.org/course/graph-algorithms-genome-sequencing-uc-san-diegox-algs206x,Graph Algorithms in Genome Sequencing,,
135,https://www.edx.org/course/international-human-rights-law-louvainx-louv2x-0,International Human Rights Law,,
136,https://www.edx.org/course/managing-marketing-hospitality-tourism-hkpolyux-htm534x-0,Managing Marketing in the Hospitality and Tourism Industry,,
137,https://www.edx.org/course/marketing-management-iimbx-mk102x-0,Marketing Management,,
138,https://www.edx.org/course/organizational-behaviour-ubcx-busobhr1x,Organizational Behaviour,,
139,https://www.edx.org/course/communicating-corporate-social-responsibility-csr,Communicating Corporate Social Responsibility (CSR),,
140,https://www.edx.org/course/managing-human-resources-hospitality-hkpolyux-htm533x-0,Managing Human Resources in the Hospitality and Tourism Industry,,
141,https://www.edx.org/course/international-humanitarian-law-louvainx-louv16x-0,International Humanitarian Law,,
142,https://www.edx.org/course/best-practices-project-management-ritx-pm9002x-1,Best Practices for Project Management Success,,
143,https://www.edx.org/course/np-complete-problems-uc-san-diegox-algs203x,NP-Complete Problems,,
144,https://www.edx.org/course/les-principes-de-la-finance,Les principes de la finance,,
145,https://www.edx.org/course/introduction-accounting-ubcx-busacct1x,Introduction to Accounting,,
146,https://www.edx.org/course/macroeconomic-principles-asux-ecn211x-0,Macroeconomic Principles,,
147,https://www.edx.org/course/introduction-marketing-ubcx-busmktg1x,Introduction to Marketing,,
148,https://www.edx.org/course/hospitality-tourism-technology-hkpolyux-htm540x-0,Hospitality and Tourism Technology and Innovation,,
149,https://www.edx.org/course/operations-management-iimbx-om101-1x-0,Operations Management,,
152,https://www.edx.org/course/corporate-finance-iimbx-fc101x,Corporate Finance,,
153,https://www.edx.org/course/programming-data-science-adelaidex-programx,Programming for Data Science,,
154,https://www.edx.org/course/introduction-biology-secret-life-mitx-7-00x-7,Introduction to Biology - The Secret of Life,,
155,https://www.edx.org/course/introduction-corporate-finance-ubcx-busfin1x,Introduction to Corporate Finance,,
156,https://www.edx.org/course/adaptive-leadership-development-uqx-lgdm3x-1,Adaptive Leadership in Development,,
157,https://www.edx.org/course/computational-thinking-big-data-adelaidex-compx,Computational Thinking and Big Data,,
158,https://www.edx.org/course/accounting-decision-making-iimbx-ac103x-1,Accounting for Decision-Making,,
159,https://www.edx.org/course/strategic-management-iimbx-st101x-0,Strategic Management,,
160,https://www.edx.org/course/liderazgo-para-mandos-intermedios-upvalenciax-lider201-3x-0,Liderazgo para mandos intermedios,,
161,https://www.edx.org/course/big-data-fundamentals-adelaidex-bigdatax,Big Data Fundamentals,,
163,https://www.edx.org/course/western-civilization-ancient-medieval-asux-hst102x-4,Western Civilization: Ancient and Medieval Europe,,
164,https://www.edx.org/course/quantitative-biology-workshop-mitx-7-qbwx-3,Quantitative Biology Workshop,,
165,https://www.edx.org/course/introduction-health-wellness-asux-exw100x-3,Introduction to Health and Wellness,,
166,https://www.edx.org/course/english-composition-research-writing-asux-eng102x-2,English Composition: Research and Writing,,
167,https://www.edx.org/course/foundations-data-science-prediction-uc-berkeleyx-data8-3x,Foundations of Data Science: Prediction and Machine Learning,,
168,https://www.edx.org/course/liberating-programming-system-israelx-libprogx,Liberating Programming: System Development for Everyone,,
169,https://www.edx.org/course/leading-change-go-beyond-gamification-michiganx-microsoft-education-gl101x,Leading Change: Go Beyond Gamification with Gameful Learning,,
170,https://www.edx.org/course/introduction-to-social-research-methods,Introduction to Social Research Methods,,
171,https://www.edx.org/course/enabling-technologies-data-science-columbiax-ds103x-1,Enabling Technologies for Data Science and Analytics: The Internet of Things,,
173,https://www.edx.org/course/leadership-in-a-new-era-a-course-at-tsinghua-sem-by-mckinsey,Leadership in a New Era: A Course at Tsinghua SEM by McKinsey,,
174,https://www.edx.org/course/big-data-education-pennx-bde1x-0,Big Data and Education,,
175,https://www.edx.org/course/english-composition-asux-eng101x-5,English Composition,,
176,https://www.edx.org/course/science-happiness-uc-berkeleyx-gg101x-6,The Science of Happiness,,
177,https://www.edx.org/course/introduction-actuarial-science-anux-anu-actuarialx-1,Introduction to Actuarial Science,,
178,https://www.edx.org/course/evidence-based-management-a-capstone,Evidence-Based Management Capstone,,
179,https://www.edx.org/course/introduction-sociology-asux-soc101x-4,Introduction to Sociology,,
180,https://www.edx.org/course/statistics-unlocking-world-data-edinburghx-statsx-0,Statistics: Unlocking the World of Data,,
181,https://www.edx.org/course/study-abroad-usa-building-capacity-us-asux-gbl500x,Study Abroad USA: Building Capacity for US Institutions,,
182,https://www.edx.org/course/cybersecurity-privacy-iot-curtinx-iot5x,Cybersecurity and Privacy in the IoT,,
183,https://www.edx.org/course/iot-networks-protocols-curtinx-iot3x,IoT Networks and Protocols,,
184,https://www.edx.org/course/iot-sensors-devices-curtinx-iot2x,IoT Sensors and Devices,,
185,https://www.edx.org/course/iot-programming-big-data-curtinx-iot4x,IoT Programming and Big Data,,
186,https://www.edx.org/course/human-origins-asux-asm246-5,Human Origins,,
187,https://www.edx.org/course/culture-services-new-perspective-kyotoux-002x-2,Culture of Services: New Perspective on Customer Relations,,
188,https://www.edx.org/course/anatomy-human-neuroanatomy-michiganx-anatomy403-3x,Anatomy: Human Neuroanatomy,,
190,https://www.edx.org/course/microeconomic-principles-decision-making-under-scarcity,Microeconomic Principles: Decision-making under Scarcity,,
191,https://www.edx.org/course/question-everything-scientific-thinking-uqx-query101x-2,Question Everything: Scientific Thinking in Real Life,,
192,https://www.edx.org/course/shaping-the-future-of-work,Shaping the Future of Work,,
193,https://www.edx.org/course/nanotechnology-fundamentals-purduex-nano530x,Nanotechnology: Fundamentals of Nanotransistors,,
194,https://www.edx.org/course/results-based-project-management-witsx-rbme101x-0,Results-Based Project Management: Monitoring and Evaluation,,
195,https://www.edx.org/course/math-sports-notredamex-mat150x,Math in Sports,,
196,https://www.edx.org/course/formal-software-verification-usmx-university-maryland-university-stv1-3x,Formal Software Verification,,
197,https://www.edx.org/course/road-selective-college-admissions-st-margarets-episcopal-school-col101x-0,The Road to Selective College Admissions,,
198,https://www.edx.org/course/co-creating-sustainable-cities-delftx-wageningenx-ams-urb-2x,Co-Creating Sustainable Cities,,
199,https://www.edx.org/course/linear-differential-equations-bux-math226-2x-1,Linear Differential Equations,,
200,https://www.edx.org/course/energy-within-environmental-constraints,Energy Within Environmental Constraints,,
201,https://www.edx.org/course/oriental-beliefs-between-reason-louvainx-louv19x,Oriental Beliefs: Between Reason and Traditions,,
202,https://www.edx.org/course/knowledge-management-nuclear-energy-mephix-mephi002x,Knowledge Management in Nuclear Energy Organizations,,
203,https://www.edx.org/course/how-code-simple-data-ubcx-htc1x,How to Code: Simple Data,,
204,https://www.edx.org/course/electronic-optical-magnetic-properties-mitx-3-024x,Electronic, Optical and Magnetic Properties of Materials,
206,https://www.edx.org/course/cs50s-apr-computer-science-principles-harvardx-cs50-ap,CS50: Introduction to Computer Science,,
207,https://www.edx.org/course/fundamentals-immunology-part-2-ricex-bioc372-2x-0,Fundamentals of Immunology, Part 2,
208,https://www.edx.org/course/graphene-science-technology-chalmersx-chm001x-0,Graphene Science and Technology,,
209,https://www.edx.org/course/time-series-analysis,Time Series Analysis,,
210,https://www.edx.org/course/provisioning-databases-azure-sql-server-microsoft-dat219x-2,Provisioning Databases in Azure and SQL Server,,
211,https://www.edx.org/course/introduction-evidence-based-bux-cirtl-1x-2,An Introduction to Evidence-Based Undergraduate STEM Teaching,,
212,https://www.edx.org/course/introduction-engineering-mathematics-utarlingtonx-engr3-0x,Introduction to Engineering Mathematics with Applications,,
213,https://www.edx.org/course/introduction-aerospace-engineering-mitx-16-00x-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,,
214,https://www.edx.org/course/citiesx-past-present-future-urban-life-harvardx-urban101x,CitiesX: The Past, Present and Future of Urban Life,
215,https://www.edx.org/course/biostatistics-big-data-applications-utmbx-stat101x,Biostatistics for Big Data Applications,,
216,https://www.edx.org/course/introduction-engineering-utarlingtonx-engr2-0x-0,Introduction to Engineering,,
217,https://www.edx.org/course/ecodesign-cities-suburbs-ubcx-ecodesignx-0,Ecodesign for Cities and Suburbs,,
218,https://www.edx.org/course/measuring-health-outcomes-field-surveys-mitx-jpal350x-0,Measuring Health Outcomes in Field Surveys,,
219,https://www.edx.org/course/fat-chance-probability-from-the-ground-up,Fat Chance: Probability from the Ground Up,,
220,https://www.edx.org/course/windows-server-2016-security-features-microsoft-inf259x,Windows Server 2016 Security Features,,
221,https://www.edx.org/course/preparing-ap-computer-science-exam-part-cooper-union-cs-2x,AP Computer Science A,,
222,https://www.edx.org/course/book-making-meaning-medieval-manuscript-harvardx-hum1-1x,The Book: Making and Meaning in the Medieval Manuscript,,
223,https://www.edx.org/course/introduction-user-experience-michiganx-ux501x-0,Introduction to User Experience,,
224,https://www.edx.org/course/proteins-alignment-analysis-structure-usmx-umuc-bif002x,Proteins: Alignment, Analysis and Structure,
